string,en,fr,de,es,pt,ru
alert_no_login_history,No Login History Found,Aucun historique de connexion trouvé,Keine Anmeldeverlauf gefunden,Sin historial de inicio de sesión,Nenhum histórico de sessão encontrado,Нет истории входа
alert_no_login_history,No Billing History Found,Aucun historique de facturation trouvé,Kein Rechnungsverlauf gefunden,Sin historial de facturación,Nenhum histórico de cobrança encontrado,Нет истории покупок
table_game,Game,Partie,Spiel,Juego,Jogo,Игра
table_descrition,Description,Description,Beschreibung,Descripción,Descrição,Описание
table_type,Type,Classe,Tippen:,Escritura,Digitado,Тип
billing_history_title,Billing History for {{user}},Historique de facturation de {{user}},Rechnungsverlauf für {{user}},Historial de facturación de {{user}},Histórico de cobrança de {{user}},История покупок {{user}}
login_history_title,Login History for {{user}},Historique de connexion de {{user}},Anmeldeverlauf für {{user}},Historial de inicio de sesión de {{user}},Histórico de sessão de {{user}},История входа в игру {{user}}
discipline_history_title,Discipline for {{user}},Sanctions de {{user}},Strafe für {{user}},Historial disciplinario de {{user}},Ações disciplinares de {{user}},История наказаний {{user}}
discipline_history_disclaime,"If you have any questions about these disciplines or our policies, feel free to contact us.","Si vous avez des questions sur ces sanctions ou nos règlements, n'hésitez pas à nous contacter.","Wenn Sie Fragen zu diesen Strafen oder unseren Richtlinien haben, können Sie sich gerne an uns wenden.","Si tiene alguna pregunta acerca de estas acciones disciplinarias o de nuestras políticas, no dude en contactarnos.","Se tiver qualquer dúvida sobre tais ações disciplinares ou sobre nossas políticas, esteja à vontade para falar conosco.","Пожалуйста, свяжитесь с нами, если у вас есть вопросы об этих нарушениях или о наших правилах"
login,Login,Connecter,Anmelden,Iniciar sesión,Iniciar sessão,Вход
logout,Logout,Déconnecter,Abmelden,Cerrar sesión,Sair,Выход
email_subscription,Email Subscription,Abonnement aux emails,E-Mail-Abonnement,Subscripción de correo electrónico,Assinatura por e-mail,Email Подписка
your_password,Your Password,Votre mot de passe,Ihr Passwort,Su contraseña,Sua senha,Ваш Пароль
back_to_accounts,Back To Player Accounts,Retour aux comptes joueur,Zurück zu Spielerkonten,Volver a Cuentas del jugador,Voltar às contas de jogador,Вернуться к Учётным Записям Игроков
reset_your_password,Reset Your Password,Réinitialiser votre mot de passe,Dein Passwort zurücksetzen,Restablecer tu contraseña,Mudar a senha,Сбросить Пароль
reset_password_description,Need to change your password? No problem! Just enter a new password to change your password.,Tu veux changer ton mot de passe ? Aucun problème ! Il te suffit d'en saisir un nouveau pour le changer.,"Sie möchten Ihr Passwort ändern? Kein Problem! Geben Sie einfach ein neues Passwort ein, um Ihr Passwort zu ändern.",¿Desea cambiar su contraseña? ¡No hay problema! Ingrese una nueva contraseña para cambiar la actual.,Precisa alterar sua senha? Não tem problema! Basta digitar uma senha nova para alterar sua senha atual.,Нужно сменить пароль? Нет проблем! Просто введите новый пароль чтобы сменить его.
questions,Got a question?,Des questions ?,Sie haben eine Frage?,¿Tiene alguna pregunta?,Está com dúvidas?,Есть вопрос?
help_desk,Visit our help desk,Visitez notre bureau d'aide,Besuchen Sie unseren Helpdesk,Vaya a nuestro servicio de ayuda,Visite a nossa seção de ajuda,Посетите нашу поддержку
more_gems,Need More Gems?,Besoin de gemmes ?,Brauchst du mehr Edelsteine?,¿Necesitas más gemas?,Precisa de mais joias?,Нужно Больше Самоцветов?
aj_outfitters,Check out AJ Outfitters,Rendez-vous dans la Boutique AJ,Sehen Sie sich AJ-Outfitter an,Vaya a la Tienda AJ,Confira as Lojas de Roupas do AJ,Посетите магазин AJ
online_safety,Online Safety,Sécurité en ligne,Online-Sicherheit,Seguridad en línea,Segurança Online,Онлайн Безопасность
learn_more,Learn more,En savoir plus,Mehr erfahren,Para conocer más,Saiba mais,Узнать больше
password_reset_title,Password Reset for {{user}},Réinitialiser le mot de passe pour {{user}},Passwort zurücksetzen für {{user}},Restablecer contraseña de {{user}},Redefinição de senha de {{user}},Сброс пароля игрока {{user}}
auto_renew_title,Auto Renew for {{user}},Renouvellement automatique pour {{user}},Automatische Verlängerung für {{user}},Renovación automática de {{user}},Renovação automática de {{user}},Автопродление подписки игрока {{user}}
auto_renew_description,Turn auto renew on to renew {{user}}'s membership on {{date}} for {{price}},Activez le renouvellement automatique pour renouveler l'abonnement de {{user}} le {{date}} pour {{price}},"Aktivieren Sie die automatische Verlängerung, um die Mitgliedschaft von {{user}} am {{date}} für {{price}} zu verlängern",Activa la renovación automática de la membresía de {{user}} el {{date}} por {{price}},Ative a renovação automática para renovar a assinatura de {{user}}em {{date}} por {{price}},"Включите автоматическое продление, чтобы продлить подписку игрока {{user}} с {{date}} за {{price}}"
expires,Expires on {{date}},Expire le {{date}},Endet am {{date}},Expira el {{date}},Vence em {{date}},Истекает {{date}}
join,Join Now!,Rejoindre maintenant !,Werde jetzt Mitglied!,¡Unirse ahora!,Participe agora!,Присоединиться Сейчас!
